month_date,merch_state,accommodation_cost,attraction_cost,breakfast_lunch_cost,dinner_cost,median_meal_cost,retail_cost,cost_per_trip
2024-09-01,OR,269.5799865722656,36.529998779296875,19.770000457763672,38.63999938964844,27.770000457763672,52.0099983215332,872.599967956543
2024-10-01,OR,245.52999877929688,25.43000030517578,18.59000015258789,37.2599983215332,26.61000061035156,53.2400016784668,797.2799987792969
2024-11-01,OR,211.88999938964844,22.93000030517578,18.469999313354492,37.099998474121094,26.3799991607666,75.66999816894531,769.0599899291992
2024-12-01,OR,216.02000427246097,25.229999542236328,19.450000762939453,39.900001525878906,27.969999313354492,82.63999938964844,805.380012512207
2025-01-01,OR,234.57000732421875,24.780000686645508,17.790000915527344,35.220001220703125,25.0,61.54999923706055,783.4000205993652
2025-02-01,OR,289.2200012207031,25.75,17.530000686645508,35.04999923706055,24.829999923706055,63.41999816894531,897.0
2025-03-01,OR,305.0,27.700000762939453,18.31999969482422,36.650001525878906,25.549999237060547,60.20000076293945,932.3800048828125
2025-04-01,OR,293.260009765625,25.020000457763672,17.829999923706055,36.2599983215332,24.959999084472656,55.84000015258789,892.0800170898438
2025-05-01,OR,315.6400146484375,32.18000030517578,18.18000030517578,37.16999816894531,25.780000686645508,54.02000045776367,950.7400283813477
2025-06-01,OR,344.95001220703125,35.560001373291016,19.540000915527344,40.34000015258789,28.299999237060547,49.72999954223633,1019.3200302124023
2025-07-01,OR,329.7699890136719,37.279998779296875,20.020000457763672,40.27000045776367,28.15999984741211,50.7599983215332,996.2399749755859
2025-08-01,OR,281.4200134277344,37.880001068115234,20.030000686645508,40.209999084472656,28.43000030517578,56.290000915527344,911.7200317382812
2025-09-01,OR,263.57000732421875,32.34000015258789,19.13999938964844,37.95000076293945,26.88999938964844,54.619998931884766,853.5200119018555
2025-10-01,OR,247.0800018310547,24.020000457763672,18.010000228881836,36.459999084472656,25.479999542236328,55.2599983215332,797.6800003051758
2024-01-01,PA,187.3699951171875,20.950000762939453,16.520000457763672,32.16999816894531,22.959999084472656,46.619998931884766,640.2999877929688
2024-02-01,PA,195.82000732421875,22.790000915527344,16.65999984741211,32.68000030517578,23.350000381469727,50.40999984741211,670.0400161743164
2024-03-01,PA,203.58999633789065,22.510000228881836,17.3799991607666,34.029998779296875,24.3700008392334,51.79999923706055,693.3799858093262
2024-04-01,PA,217.32000732421875,23.65999984741211,16.600000381469727,32.40999984741211,23.209999084472656,50.70000076293945,714.5800170898438
2024-05-01,PA,213.41000366210935,21.829999923706055,18.200000762939453,34.900001525878906,25.209999084472656,50.04999923706055,713.1800117492676
2024-06-01,PA,215.3800048828125,21.25,18.920000076293945,36.16999816894531,26.170000076293945,48.90999984741211,719.1000061035156
2024-07-01,PA,221.2899932861328,21.329999923706055,18.75,35.720001220703125,26.010000228881836,50.29999923706055,732.2799873352051
2024-08-01,PA,209.57000732421875,21.170000076293945,18.540000915527344,35.33000183105469,25.670000076293945,51.689998626708984,709.6800193786621
2024-09-01,PA,220.13999938964844,20.020000457763672,15.720000267028809,31.18000030517578,22.020000457763672,51.43000030517578,708.4200019836426
2024-10-01,PA,219.25,20.309999465942383,17.34000015258789,33.43000030517578,24.030000686645508,52.16999816894531,719.6799964904785
2024-11-01,PA,208.2100067138672,20.010000228881836,17.600000381469727,33.939998626708984,24.440000534057617,57.58000183105469,709.8800163269043
2024-12-01,PA,193.4600067138672,20.329999923706055,18.579999923706055,36.599998474121094,26.1200008392334,54.599998474121094,684.3000068664551
2025-01-01,PA,196.9199981689453,20.149999618530273,17.690000534057617,33.880001068115234,24.34000015258789,51.43000030517578,675.5200004577637
2025-02-01,PA,203.4900054931641,20.34000015258789,17.18000030517578,33.779998779296875,24.030000686645508,53.220001220703125,690.380012512207
2025-03-01,PA,210.1000061035156,20.729999542236328,17.479999542236328,34.779998779296875,24.600000381469727,53.900001525878906,708.9400100708008
2025-04-01,PA,208.1499938964844,20.549999237060547,16.899999618530273,34.0,23.790000915527344,53.209999084472656,699.4199829101562
2025-05-01,PA,222.75,21.020000457763672,18.799999237060547,36.84000015258789,26.329999923706055,52.29999923706055,741.0199966430664
2025-06-01,PA,229.6300048828125,23.219999313354492,19.670000076293945,37.56999969482422,27.030000686645508,49.650001525878906,758.820011138916
2025-07-01,PA,221.9900054931641,24.239999771118164,19.770000457763672,37.869998931884766,27.43000030517578,50.65999984741211,748.6000099182129
2025-08-01,PA,211.67999267578125,22.979999542236328,19.38999938964844,37.97999954223633,27.13999938964844,51.90999984741211,726.6599807739258
2025-09-01,PA,222.1499938964844,22.510000228881836,18.0,34.7400016784668,25.15999984741211,52.400001525878906,735.5999946594238
2025-10-01,PA,215.4199981689453,23.18000030517578,18.40999984741211,36.619998931884766,25.899999618530273,51.709999084472656,727.4999923706055
2024-01-01,RI,264.1400146484375,20.850000381469727,16.65999984741211,35.209999084472656,23.739999771118164,47.36000061035156,801.7600288391113
2024-02-01,RI,238.8699951171875,24.84000015258789,14.760000228881836,31.229999542236328,20.8700008392334,46.849998474121094,742.619987487793
2024-03-01,RI,335.2200012207031,26.299999237060547,16.700000762939453,37.93000030517578,24.34000015258789,47.72999954223633,961.1600036621094
2024-04-01,RI,373.4200134277344,35.27000045776367,14.550000190734863,33.16999816894531,21.649999618530273,48.11000061035156,1038.1400260925293
2024-05-01,RI,281.3399963378906,27.239999771118164,17.979999542236328,38.790000915527344,26.510000228881836,48.81999969482422,864.299991607666
2024-06-01,RI,389.0499877929687,30.459999084472656,20.950000762939453,44.31999969482422,31.010000228881836,46.59000015258789,1104.6399765014648
