merch_state,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
AZ,2025-02-01,243.46000671386719,737115,3189,59.540000915527344,2104.6298828125,128.55000305175781,515.55999755859375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
PA,2025-02-01,203.49000549316406,692690,2910,56.5099983215332,1165.52001953125,130.8699951171875,355.64999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MO,2025-02-01,189.75,658436,2761,62.150001525878906,1115.0400390625,123.02999877929688,329.17001342773438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
OK,2025-02-01,155.22000122070312,634290,2517,55.810001373291016,820.280029296875,109.87000274658203,251.78999328613281,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
KY,2025-02-01,186.05999755859375,620884,2363,62.830001831054688,1201.449951171875,129.35000610351562,334.1300048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
IN,2025-02-01,207.33999633789062,602495,2373,56.9900016784668,1216.5999755859375,139.52000427246094,357.260009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
KS,2025-02-01,173.44000244140625,598192,2235,62.380001068115234,918.8699951171875,124.06999969482422,289.20001220703125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
OH,2025-02-01,193.47000122070312,573694,2606,60.569999694824219,1014.0900268554688,128.44000244140625,327.27999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NC,2025-02-01,201.28999328613281,573310,2836,58.470001220703125,1869.1600341796875,129.83000183105469,364.91000366210938,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MS,2025-02-01,153.47999572753906,572005,2287,54.340000152587891,776.75,100.62999725341797,231.14999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
OR,2025-02-01,289.22000122070312,545020,2023,74.419998168945312,2506.260009765625,167.6199951171875,564.03997802734375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WA,2025-02-01,216.1300048828125,486769,2138,58.529998779296875,1303.8900146484375,131.66000366210938,386.8699951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MN,2025-02-01,189.28999328613281,480594,2388,54.669998168945312,1071.31005859375,125.30000305175781,324.6300048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NM,2025-02-01,167.52999877929688,469778,2122,53.520000457763672,843.1500244140625,104.72000122070312,252.86000061035156,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
IA,2025-02-01,185.92999267578125,453844,1843,60.790000915527344,936.54998779296875,133.6199951171875,318.39999389648438,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
AK,2025-02-01,206.41999816894531,440701,1556,52.799999237060547,1350.18994140625,108.13999938964844,359.42999267578125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MI,2025-02-01,179.71000671386719,419381,2156,57.209999084472656,1076.18994140625,121.88999938964844,298.1099853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NY,2025-02-01,212.08999633789062,416719,2259,56.040000915527344,1827.4599609375,128.27000427246094,404.77999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
AL,2025-02-01,196.13999938964844,372823,1789,57.169998168945312,1204.010009765625,128.50999450683594,319.20001220703125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
